Date,Country,Cases 
4/1/2020,France,57122
4/2/2020,France,59228
4/3/2020,France,64452
4/4/2020,France,47378
4/5/2020,France,48233
4/6/2020,France,50887
4/7/2020,France,47396
4/8/2020,France,51251
4/9/2020,France,55035
4/10/2020,France,56600
4/11/2020,France,58045
4/12/2020,France,108791
4/13/2020,France,111932
4/14/2020,France,129380
4/15/2020,France,132588
4/16/2020,France,145166
4/17/2020,France,147057
4/18/2020,France,150863
4/19/2020,France,151955
4/20/2020,France,154402
4/21/2020,France,157068
4/22/2020,France,158868
4/23/2020,France,157158
4/24/2020,France,159969
4/25/2020,France,161647
4/26/2020,France,162280
4/27/2020,France,165966
4/28/2020,France,169098
4/29/2020,France,167643
4/30/2020,France,168861
5/1/2020,France,169387
4/1/2020,Italy,110574
4/2/2020,Italy,115242
4/3/2020,Italy,119827
4/4/2020,Italy,124632
4/5/2020,Italy,128948
4/6/2020,Italy,132547
4/7/2020,Italy,135586
4/8/2020,Italy,139422
4/9/2020,Italy,143626
4/10/2020,Italy,147577
4/11/2020,Italy,152271
4/12/2020,Italy,156363
4/13/2020,Italy,159516
4/14/2020,Italy,162488
4/15/2020,Italy,165155
4/16/2020,Italy,168941
4/17/2020,Italy,172434
4/18/2020,Italy,175925
4/19/2020,Italy,178972
4/20/2020,Italy,181228
4/21/2020,Italy,183957
4/22/2020,Italy,187327
4/23/2020,Italy,189973
4/24/2020,Italy,192994
4/25/2020,Italy,195351
4/26/2020,Italy,197675
4/27/2020,Italy,199414
4/28/2020,Italy,201505
4/29/2020,Italy,203591
4/30/2020,Italy,205463
5/1/2020,Italy,207428
4/1/2020,US,224560
4/2/2020,US,256792
4/3/2020,US,289087
4/4/2020,US,321477
4/5/2020,US,351354
4/6/2020,US,382747
4/7/2020,US,413516
4/8/2020,US,444731
4/9/2020,US,480667
4/10/2020,US,515081
4/11/2020,US,544183
4/12/2020,US,571440
4/13/2020,US,598380
4/14/2020,US,627205
4/15/2020,US,652611
4/16/2020,US,682626
4/17/2020,US,715656
4/18/2020,US,743588
4/19/2020,US,769684
4/20/2020,US,799512
4/21/2020,US,825429
4/22/2020,US,854288
4/23/2020,US,887858
4/24/2020,US,920185
4/25/2020,US,950581
4/26/2020,US,977082
4/27/2020,US,1000785
4/28/2020,US,1025362
4/29/2020,US,1051800
4/30/2020,US,1081020
5/1/2020,US,1115946
4/1/2020,Vietnam,218
4/2/2020,Vietnam,233
4/3/2020,Vietnam,237
4/4/2020,Vietnam,240
4/5/2020,Vietnam,241
4/6/2020,Vietnam,245
4/7/2020,Vietnam,249
4/8/2020,Vietnam,251
4/9/2020,Vietnam,255
4/10/2020,Vietnam,257
4/11/2020,Vietnam,258
4/12/2020,Vietnam,262
4/13/2020,Vietnam,265
4/14/2020,Vietnam,266
4/15/2020,Vietnam,267
4/16/2020,Vietnam,268
4/17/2020,Vietnam,268
4/18/2020,Vietnam,268
4/19/2020,Vietnam,268
4/20/2020,Vietnam,268
4/21/2020,Vietnam,268
4/22/2020,Vietnam,268
4/23/2020,Vietnam,268
4/24/2020,Vietnam,270
4/25/2020,Vietnam,270
4/26/2020,Vietnam,270
4/27/2020,Vietnam,270
4/28/2020,Vietnam,270
4/29/2020,Vietnam,270
4/30/2020,Vietnam,270
5/1/2020,Vietnam,270
